id,project,cvss_score,cvss_version
CVE-2018-12606,gitlab,5.4,3.0
CVE-2018-12607,gitlab,5.4,3.0
CVE-2018-16048,gitlab,6.5,3.0
CVE-2018-16049,gitlab,9.8,3.0
CVE-2018-16050,gitlab,6.1,3.0
CVE-2018-16051,gitlab,6.5,3.0
CVE-2018-18649,gitlab,9.8,3.0
CVE-2018-17939,gitlab,7.5,3.0
CVE-2018-17975,gitlab,5.3,3.0
CVE-2018-17976,gitlab,6.5,3.0
CVE-2018-18640,gitlab,6.5,3.0
CVE-2018-18641,gitlab,9.8,3.0
CVE-2018-18642,gitlab,6.1,3.0
CVE-2018-18644,gitlab,6.5,3.0
CVE-2018-18645,gitlab,4.3,3.0
CVE-2018-18646,gitlab,8.8,3.0
CVE-2018-18647,gitlab,6.5,3.0
CVE-2018-18648,gitlab,7.5,3.0
CVE-2018-18843,gitlab,10.0,3.0
CVE-2019-6240,gitlab,7.5,3.0
CVE-2018-19856,gitlab,7.5,3.0
CVE-2018-20144,gitlab,7.5,3.0
CVE-2018-20229,gitlab,7.5,3.0
CVE-2019-6796,gitlab,6.1,3.0
CVE-2019-7155,gitlab,6.5,3.0
CVE-2019-9170,gitlab,5.3,3.0
CVE-2019-9171,gitlab,3.7,3.0
CVE-2019-9172,gitlab,5.9,3.0
CVE-2019-9174,gitlab,10.0,3.0
CVE-2019-9175,gitlab,5.3,3.0
CVE-2019-9176,gitlab,6.5,3.0
CVE-2019-9178,gitlab,5.3,3.0
CVE-2019-9179,gitlab,3.7,3.0
CVE-2019-9217,gitlab,9.8,3.0
CVE-2019-9219,gitlab,3.7,3.0
CVE-2019-9220,gitlab,7.5,3.0
CVE-2019-9222,gitlab,8.1,3.0
CVE-2019-9223,gitlab,7.5,3.0
CVE-2019-9224,gitlab,5.3,3.0
CVE-2019-9225,gitlab,5.3,3.0
CVE-2019-9756,gitlab,9.8,3.0
CVE-2019-9890,gitlab,9.1,3.0
CVE-2018-18643,gitlab,6.1,3.0
CVE-2018-19359,gitlab,8.8,3.0
CVE-2019-11000,gitlab,6.5,3.1
CVE-2019-10640,gitlab,7.5,3.0
CVE-2019-10108,gitlab,5.4,3.0
CVE-2019-10109,gitlab,5.3,3.0
CVE-2019-10110,gitlab,6.5,3.0
CVE-2019-10111,gitlab,5.4,3.0
CVE-2019-10113,gitlab,7.5,3.0
CVE-2019-10114,gitlab,7.5,3.0
CVE-2019-10115,gitlab,6.5,3.0
CVE-2019-10116,gitlab,4.3,3.0
CVE-2019-10117,gitlab,6.1,3.0
CVE-2019-10112,gitlab,7.5,3.0
CVE-2018-19585,gitlab,7.5,3.0
CVE-2018-20500,gitlab,7.5,3.0
CVE-2019-5883,gitlab,9.1,3.0
CVE-2019-6781,gitlab,7.5,3.1
CVE-2019-6787,gitlab,6.5,3.0
CVE-2019-6790,gitlab,4.3,3.0
CVE-2019-6797,gitlab,7.5,3.0
CVE-2019-7353,gitlab,9.1,3.0
CVE-2019-7549,gitlab,4.3,3.0
CVE-2019-9218,gitlab,9.8,3.0
CVE-2019-9221,gitlab,5.5,3.0
CVE-2019-9485,gitlab,9.8,3.0
CVE-2019-9732,gitlab,9.8,3.0
CVE-2019-9866,gitlab,6.5,3.0
CVE-2018-19493,gitlab,6.1,3.0
CVE-2018-19494,gitlab,4.3,3.0
CVE-2018-19495,gitlab,6.5,3.0
CVE-2018-19496,gitlab,6.5,3.0
CVE-2018-19577,gitlab,5.3,3.1
CVE-2018-19569,gitlab,8.8,3.0
CVE-2018-19570,gitlab,5.4,3.1
CVE-2018-19572,gitlab,5.9,3.0
CVE-2018-19573,gitlab,5.4,3.1
CVE-2018-19574,gitlab,5.4,3.1
CVE-2018-19575,gitlab,4.3,3.0
CVE-2018-19576,gitlab,8.1,3.0
CVE-2018-19571,gitlab,7.7,3.1
CVE-2018-19578,gitlab,6.5,3.0
CVE-2018-19579,gitlab,5.4,3.0
CVE-2018-19580,gitlab,5.3,3.0
CVE-2018-19581,gitlab,7.5,3.0
CVE-2018-19582,gitlab,4.3,3.0
CVE-2018-19583,gitlab,6.5,3.1
CVE-2018-19584,gitlab,7.5,3.0
CVE-2019-14943,gitlab,9.8,3.0
CVE-2019-5461,gitlab,3.5,3.1
CVE-2019-5463,gitlab,5.3,3.1
CVE-2019-5467,gitlab,5.4,3.1
CVE-2019-5471,gitlab,5.4,3.1
CVE-2019-5473,gitlab,7.2,3.1
CVE-2019-11544,gitlab,4.3,3.1
CVE-2019-11545,gitlab,4.3,3.1
CVE-2019-11546,gitlab,5.3,3.1
CVE-2019-11547,gitlab,6.1,3.1
CVE-2019-11548,gitlab,5.4,3.1
CVE-2019-11549,gitlab,6.5,3.1
CVE-2019-11605,gitlab,7.5,3.1
CVE-2019-6782,gitlab,7.5,3.1
CVE-2019-6783,gitlab,8.8,3.1
CVE-2019-6784,gitlab,6.1,3.1
CVE-2019-6785,gitlab,6.5,3.1
CVE-2019-6786,gitlab,6.5,3.1
CVE-2019-6788,gitlab,7.5,3.1
CVE-2019-6789,gitlab,4.3,3.1
CVE-2019-6792,gitlab,5.3,3.1
CVE-2019-6793,gitlab,7.0,3.1
CVE-2019-6794,gitlab,4.3,3.1
CVE-2019-6795,gitlab,5.4,3.1
CVE-2019-6960,gitlab,9.8,3.1
CVE-2019-6995,gitlab,6.5,3.1
CVE-2019-6996,gitlab,4.3,3.1
CVE-2019-6997,gitlab,4.3,3.1
CVE-2019-6791,gitlab,6.5,3.1
CVE-2019-7176,gitlab,3.7,3.1
CVE-2019-16170,gitlab,7.1,3.1
CVE-2019-15721,gitlab,5.4,3.1
CVE-2019-15722,gitlab,7.5,3.1
CVE-2019-15723,gitlab,5.3,3.1
CVE-2019-15724,gitlab,6.1,3.1
CVE-2019-15725,gitlab,7.5,3.1
CVE-2019-15726,gitlab,5.3,3.1
CVE-2019-15727,gitlab,5.3,3.1
CVE-2019-15728,gitlab,7.5,3.1
CVE-2019-15730,gitlab,7.5,3.1
CVE-2019-15731,gitlab,5.3,3.1
CVE-2019-15732,gitlab,5.3,3.1
CVE-2019-15733,gitlab,4.3,3.1
CVE-2019-15734,gitlab,4.3,3.1
CVE-2019-15736,gitlab,7.5,3.1
CVE-2019-15737,gitlab,6.5,3.1
CVE-2019-15738,gitlab,5.3,3.1
CVE-2019-15739,gitlab,6.1,3.1
CVE-2019-15740,gitlab,5.3,3.1
CVE-2019-15729,gitlab,7.5,3.1
CVE-2019-15593,gitlab,6.5,3.1
CVE-2019-18460,gitlab,7.5,3.1
CVE-2019-18461,gitlab,4.3,3.1
CVE-2019-18462,gitlab,4.3,3.1
CVE-2019-18463,gitlab,4.3,3.1
CVE-2019-18457,gitlab,8.8,3.1
CVE-2019-18458,gitlab,2.7,3.1
CVE-2019-18459,gitlab,5.3,3.1
CVE-2019-18446,gitlab,4.3,3.1
CVE-2019-18447,gitlab,4.3,3.1
CVE-2019-18448,gitlab,6.5,3.1
CVE-2019-18449,gitlab,4.3,3.1
CVE-2019-18450,gitlab,4.3,3.1
CVE-2019-18451,gitlab,6.1,3.1
CVE-2019-18452,gitlab,5.3,3.1
CVE-2019-18453,gitlab,4.3,3.1
CVE-2019-18454,gitlab,6.1,3.1
CVE-2019-18455,gitlab,7.5,3.1
CVE-2019-18456,gitlab,5.3,3.1
CVE-2019-15575,gitlab,7.5,3.1
CVE-2019-15576,gitlab,7.5,3.1
CVE-2019-15577,gitlab,4.3,3.1
CVE-2019-15580,gitlab,6.5,3.1
CVE-2019-15589,gitlab,8.8,3.1
CVE-2019-15591,gitlab,6.5,3.1
CVE-2019-5469,gitlab,6.5,3.1
CVE-2019-5486,gitlab,8.8,3.1
CVE-2019-5487,gitlab,5.3,3.1
CVE-2019-15584,gitlab,6.5,3.1
CVE-2018-20492,gitlab,5.3,3.1
CVE-2018-20488,gitlab,4.3,3.1
CVE-2018-20489,gitlab,5.3,3.1
CVE-2018-20490,gitlab,5.4,3.1
CVE-2018-20491,gitlab,5.4,3.1
CVE-2018-20493,gitlab,4.3,3.1
CVE-2018-20494,gitlab,7.5,3.1
CVE-2018-20495,gitlab,5.3,3.1
CVE-2018-20496,gitlab,5.4,3.1
CVE-2018-20497,gitlab,5.0,3.1
CVE-2018-20498,gitlab,4.3,3.1
CVE-2018-20499,gitlab,7.2,3.1
CVE-2018-20501,gitlab,6.3,3.1
CVE-2018-20507,gitlab,5.3,3.1
CVE-2019-19086,gitlab,4.3,3.1
CVE-2019-19087,gitlab,4.3,3.1
CVE-2019-19088,gitlab,9.8,3.1
CVE-2019-19254,gitlab,5.3,3.1
CVE-2019-19311,gitlab,5.4,3.1
CVE-2019-19255,gitlab,4.3,3.1
CVE-2019-19256,gitlab,5.3,3.1
CVE-2019-19257,gitlab,5.3,3.1
CVE-2019-19258,gitlab,5.3,3.1
CVE-2019-19259,gitlab,4.3,3.1
CVE-2019-19260,gitlab,5.4,3.1
CVE-2019-19261,gitlab,8.8,3.1
CVE-2019-19262,gitlab,4.3,3.1
CVE-2019-19263,gitlab,4.3,3.1
CVE-2019-19309,gitlab,4.3,3.1
CVE-2019-19310,gitlab,4.9,3.1
CVE-2019-19312,gitlab,5.8,3.1
CVE-2019-19313,gitlab,7.5,3.1
CVE-2019-19314,gitlab,7.5,3.1
CVE-2019-19628,gitlab,9.8,3.1
CVE-2019-19629,gitlab,7.5,3.1
CVE-2019-20145,gitlab,4.3,3.1
CVE-2019-20146,gitlab,5.3,3.1
CVE-2019-20147,gitlab,5.3,3.1
CVE-2019-20148,gitlab,5.3,3.1
CVE-2020-5197,gitlab,4.3,3.1
CVE-2020-6832,gitlab,5.3,3.1
CVE-2019-20142,gitlab,4.3,3.1
CVE-2019-20143,gitlab,5.3,3.1
CVE-2019-20144,gitlab,4.3,3.1
CVE-2019-15578,gitlab,5.3,3.1
CVE-2019-15579,gitlab,5.3,3.1
CVE-2019-15581,gitlab,5.3,3.1
CVE-2019-15582,gitlab,5.3,3.1
CVE-2019-15583,gitlab,7.5,3.1
CVE-2019-15585,gitlab,9.8,3.1
CVE-2019-15586,gitlab,6.1,3.1
CVE-2019-15590,gitlab,7.5,3.1
CVE-2019-5462,gitlab,8.8,3.1
CVE-2019-5464,gitlab,9.8,3.1
CVE-2019-5465,gitlab,4.3,3.1
CVE-2019-5466,gitlab,4.3,3.1
CVE-2019-5468,gitlab,8.8,3.1
CVE-2019-5470,gitlab,7.5,3.1
CVE-2019-5472,gitlab,7.5,3.1
CVE-2019-5474,gitlab,6.5,3.1
CVE-2013-4582,gitlab,6.5,3.1
CVE-2013-4583,gitlab,8.8,3.1
CVE-2020-7979,gitlab,5.3,3.1
CVE-2020-8114,gitlab,9.8,3.1
CVE-2020-7966,gitlab,7.5,3.1
CVE-2020-7967,gitlab,4.3,3.1
CVE-2020-7968,gitlab,7.5,3.1
CVE-2020-7969,gitlab,7.5,3.1
CVE-2020-7971,gitlab,6.1,3.1
CVE-2020-7972,gitlab,7.5,3.1
CVE-2020-7973,gitlab,6.1,3.1
CVE-2020-7974,gitlab,5.3,3.1
CVE-2020-7976,gitlab,5.3,3.1
CVE-2020-7977,gitlab,5.3,3.1
CVE-2020-7978,gitlab,7.5,3.1
CVE-2020-6833,gitlab,7.5,3.1
CVE-2019-15592,gitlab,4.3,3.1
CVE-2019-15594,gitlab,4.3,3.1
CVE-2019-12825,gitlab,4.3,3.1
CVE-2020-8795,gitlab,7.5,3.1
CVE-2020-8113,gitlab,9.8,3.1
CVE-2019-12428,gitlab,9.8,3.1
CVE-2019-12429,gitlab,6.5,3.1
CVE-2019-12430,gitlab,8.8,3.1
CVE-2019-12431,gitlab,4.3,3.1
CVE-2019-12432,gitlab,4.3,3.1
CVE-2019-12433,gitlab,5.3,3.1
CVE-2019-12434,gitlab,4.3,3.1
CVE-2019-12441,gitlab,7.5,3.1
CVE-2019-12442,gitlab,6.1,3.1
CVE-2019-12443,gitlab,9.8,3.1
CVE-2019-12444,gitlab,6.1,3.1
CVE-2019-12445,gitlab,5.4,3.1
CVE-2019-12446,gitlab,7.5,3.1
CVE-2019-13001,gitlab,4.3,3.1
CVE-2019-13002,gitlab,4.3,3.1
CVE-2019-13003,gitlab,7.5,3.1
CVE-2019-13004,gitlab,5.3,3.1
CVE-2019-13005,gitlab,4.3,3.1
CVE-2019-13006,gitlab,4.3,3.1
CVE-2019-13007,gitlab,4.9,3.1
CVE-2019-13009,gitlab,6.5,3.1
CVE-2019-13010,gitlab,5.9,3.1
CVE-2019-13011,gitlab,4.3,3.1
CVE-2019-13121,gitlab,7.5,3.1
CVE-2020-10535,gitlab,5.3,3.1
CVE-2020-10078,gitlab,6.1,3.1
CVE-2020-10079,gitlab,5.3,3.1
CVE-2020-10080,gitlab,5.3,3.1
CVE-2020-10081,gitlab,6.5,3.1
CVE-2020-10082,gitlab,5.3,3.1
CVE-2020-10083,gitlab,9.1,3.1
CVE-2020-10084,gitlab,5.3,3.1
CVE-2020-10085,gitlab,5.3,3.1
CVE-2020-10086,gitlab,5.3,3.1
CVE-2020-10087,gitlab,7.5,3.1
CVE-2020-10088,gitlab,8.1,3.1
CVE-2020-10089,gitlab,7.5,3.1
CVE-2020-10090,gitlab,5.3,3.1
CVE-2020-10091,gitlab,6.1,3.1
CVE-2020-10092,gitlab,6.1,3.1
CVE-2020-10073,gitlab,7.5,3.1
CVE-2020-10074,gitlab,9.8,3.1
CVE-2020-10075,gitlab,6.1,3.1
CVE-2020-10076,gitlab,6.1,3.1
CVE-2020-10077,gitlab,9.8,3.1
CVE-2020-10952,gitlab,6.5,3.1
CVE-2020-10953,gitlab,7.5,3.1
CVE-2020-10954,gitlab,7.5,3.1
CVE-2020-10955,gitlab,6.5,3.1
CVE-2020-10956,gitlab,9.8,3.1
CVE-2020-10975,gitlab,4.3,3.1
CVE-2020-10976,gitlab,7.5,3.1
CVE-2020-10977,gitlab,5.5,3.1
CVE-2020-10978,gitlab,5.3,3.1
